name,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,ProjFlg,ArtFlg,DefArt,Behavior,cycle,Speed,Offset
Player,5,0.75,0,0.75,1.5,0.75,0,0,0,,,,,,,
Plane,-5,0,0,25,8,1,90,0,0,TRUE,,,,,,
Plane,-14.25,2.5,4,43.5,5,1,0,0,0,TRUE,,,,,,
Plane,-14.25,2.5,-4,43.5,5,1,180,0,0,TRUE,,,,,,
Plane,7.5,2.5,0,8,5,1,0,90,0,FALSE,,,,,,
Plane,-36,2.5,0,8,5,1,0,-90,0,FALSE,,,,,,
,,,,,,,,,,,,,,,,
Block,-0.8,0.5,0,0.25,1,8,0,0,0,FALSE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Stairs,0,0,0,2,2,2,0,-90,0,FALSE,FALSE,null,,,,
Block,-2.5,1.75,0,3,0.5,2,0,0,0,TRUE,FALSE,null,,,,
Block,-5,1.75,0,2,0.5,2,0,0,0,FALSE,TRUE,Left,,,,
Block,-7.5,1.75,0,3,0.5,2,0,0,0,FALSE,FALSE,null,,,,
Stairs,-10,0,0,2,2,2,0,90,0,FALSE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Block,-9.2,0.5,0,0.25,1,8,0,0,0,FALSE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Spikes,-5,0,0,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-5,0,1,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-5,0,2,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-5,0,3,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-5,0,-1,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-5,0,-2,1,1,1,0,0,0,FALSE,FALSE,null,,,,
Spikes,-5,0,-3,1,1,1,0,0,0,FALSE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Spikes,-4,0,0,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-4,0,1,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-4,0,2,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-4,0,3,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-4,0,-1,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-4,0,-2,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-4,0,-3,1,1,1,0,0,0,TRUE,FALSE,null,,,,
,,,,,,,,,,,,,,,,
Spikes,-3,0,0,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-3,0,1,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-3,0,2,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-3,0,3,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-3,0,-1,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-3,0,-2,1,1,1,0,0,0,TRUE,FALSE,null,,,,
Spikes,-3,0,-3,1,1,1,0,0,0,TRUE,FALSE,null,,,,
